PARAMETER,CHOICE #,CHOICE NAME,SETTING0,SETTING1,SETTING2,SETTING3,SETTING4,SETTING5,SETTING6,SETTING7,SETTING8,SETTING9,SETTING10
protocol,0,AXI4_Lite,PROTOCOL=10,,,,,,,,,,
protocol,1,AXI4_Full,PROTOCOL=00,,,,,,,,,,
axi_addr_width,0,32,AXI_ADDR_WIDTH=0,,,,,,,,,,
axi_addr_width,1,64,AXI_ADDR_WIDTH=1,,,,,,,,,,
axi_data_width,0,32,AXI_DATA_WIDTH=0,,,,,,,,,,
axi_data_width,1,64,AXI_DATA_WIDTH=1,,,,,,,,,,
axi_id_width,0,1,PROTOCOL=00,AXI_ID_WIDTH=00,,,,,,,,,
axi_id_width,1,2,PROTOCOL=00,AXI_ID_WIDTH=01,,,,,,,,,
axi_id_width,2,3,PROTOCOL=00,AXI_ID_WIDTH=10,,,,,,,,,
axi_id_width,3,4,PROTOCOL=00,AXI_ID_WIDTH=11,,,,,,,,,
axi_id_width,4,1,PROTOCOL=01,AXI_ID_WIDTH=00,,,,,,,,,
axi_id_width,5,2,PROTOCOL=01,AXI_ID_WIDTH=01,,,,,,,,,
axi_id_width,6,3,PROTOCOL=01,AXI_ID_WIDTH=10,,,,,,,,,
axi_id_width,7,4,PROTOCOL=01,AXI_ID_WIDTH=11,,,,,,,,,
axi_id_width,8,0,PROTOCOL=10,AXI_ID_WIDTH=00,,,,,,,,,
axi_id_width,9,0,PROTOCOL=10,AXI_ID_WIDTH=01,,,,,,,,,
axi_id_width,10,0,PROTOCOL=10,AXI_ID_WIDTH=10,,,,,,,,,
axi_id_width,11,0,PROTOCOL=10,AXI_ID_WIDTH=11,,,,,,,,,
axi_id_width,12,1,PROTOCOL=11,AXI_ID_WIDTH=00,,,,,,,,,
axi_id_width,13,2,PROTOCOL=11,AXI_ID_WIDTH=01,,,,,,,,,
axi_id_width,14,3,PROTOCOL=11,AXI_ID_WIDTH=10,,,,,,,,,
axi_id_width,15,4,PROTOCOL=11,AXI_ID_WIDTH=11,,,,,,,,,
read_queue_length,0,1,READ_QUEUE_LENGTH=0000,,,,,,,,,,
read_queue_length,1,2,READ_QUEUE_LENGTH=0001,,,,,,,,,,
read_queue_length,2,3,READ_QUEUE_LENGTH=0010,,,,,,,,,,
read_queue_length,3,4,READ_QUEUE_LENGTH=0011,,,,,,,,,,
read_queue_length,4,5,READ_QUEUE_LENGTH=0100,,,,,,,,,,
read_queue_length,5,6,READ_QUEUE_LENGTH=0101,,,,,,,,,,
read_queue_length,6,7,READ_QUEUE_LENGTH=0110,,,,,,,,,,
read_queue_length,7,8,READ_QUEUE_LENGTH=0111,,,,,,,,,,
read_queue_length,8,9,READ_QUEUE_LENGTH=1000,,,,,,,,,,
read_queue_length,9,10,READ_QUEUE_LENGTH=1001,,,,,,,,,,
read_queue_length,10,11,READ_QUEUE_LENGTH=1010,,,,,,,,,,
read_queue_length,11,12,READ_QUEUE_LENGTH=1011,,,,,,,,,,
read_queue_length,12,13,READ_QUEUE_LENGTH=1100,,,,,,,,,,
read_queue_length,13,14,READ_QUEUE_LENGTH=1101,,,,,,,,,,
read_queue_length,14,15,READ_QUEUE_LENGTH=1110,,,,,,,,,,
read_queue_length,15,16,READ_QUEUE_LENGTH=1111,,,,,,,,,,
write_queue_length,0,1,WRITE_QUEUE_LENGTH=0000,,,,,,,,,,
write_queue_length,1,2,WRITE_QUEUE_LENGTH=0001,,,,,,,,,,
write_queue_length,2,3,WRITE_QUEUE_LENGTH=0010,,,,,,,,,,
write_queue_length,3,4,WRITE_QUEUE_LENGTH=0011,,,,,,,,,,
write_queue_length,4,5,WRITE_QUEUE_LENGTH=0100,,,,,,,,,,
write_queue_length,5,6,WRITE_QUEUE_LENGTH=0101,,,,,,,,,,
write_queue_length,6,7,WRITE_QUEUE_LENGTH=0110,,,,,,,,,,
write_queue_length,7,8,WRITE_QUEUE_LENGTH=0111,,,,,,,,,,
write_queue_length,8,9,WRITE_QUEUE_LENGTH=1000,,,,,,,,,,
write_queue_length,9,10,WRITE_QUEUE_LENGTH=1001,,,,,,,,,,
write_queue_length,10,11,WRITE_QUEUE_LENGTH=1010,,,,,,,,,,
write_queue_length,11,12,WRITE_QUEUE_LENGTH=1011,,,,,,,,,,
write_queue_length,12,13,WRITE_QUEUE_LENGTH=1100,,,,,,,,,,
write_queue_length,13,14,WRITE_QUEUE_LENGTH=1101,,,,,,,,,,
write_queue_length,14,15,WRITE_QUEUE_LENGTH=1110,,,,,,,,,,
write_queue_length,15,16,WRITE_QUEUE_LENGTH=1111,,,,,,,,,,
bresp,0,DECERR,BRESP=11,,,,,,,,,,
bresp,1,SLVERR,BRESP=10,,,,,,,,,,
bresp,2,OKAY,BRESP=00,,,,,,,,,,
bresp,3,EXOKAY,BRESP=01,,,,,,,,,,
rresp,0,DECERR,RRESP=11,,,,,,,,,,
rresp,1,SLVERR,RRESP=10,,,,,,,,,,
rresp,2,OKAY,RRESP=00,,,,,,,,,,
rresp,3,EXOKAY,RRESP=01,,,,,,,,,,
