STAGE_NAME,GUI_DISPLAY_NAME,READ_SIMPLE,READ_COMPLEX,WRITE_SIMPLE,WRITE_COMPLEX,WRITE_DM
01_read_leveling,1 - Read Leveling,1,0,0,0,0
02_read_data_sanity_check,2 - Read Data Sanity Check,0,0,0,0,0
03_address_calibration,3 - Address Calibration,0,0,0,0,0
04_address_bus_sanity_check,4 - Address Bus Sanity Check,0,0,0,0,0
05_write_data_centering,5 - Write Data Centering,0,0,0,0,0
06_write_data_sanity_check,6 - Write Data Sanity Check,0,0,0,0,0
07_write_data_bit_slip,7 - Write Data Bit Slip,0,0,0,0,0
08_read_data_bit_slip,8 - Read Data Bit Slip,0,0,0,0,0
09_byte_writes_centering,9 - Byte Writes Centering,0,0,0,0,0
10_byte_writes_sanity_check,10 - Byte Writes Sanity Check,0,0,0,0,0
11_byte_writes_bit_slip,11- Byte Writes Bit Slip,0,0,0,0,0
12_read_valid_calibration,12- Read Valid Calibration,0,0,0,0,0
13_read_valid_sanity_check,13- Read Valid Sanity Check,0,0,0,0,0
