NAME,ADDRESS,      SEQ,    START,      END,    TYPE  ,  READWRITE, DEFAULT, IS_REGISTER
START_ADDR,0,0,0,8,logic,r,0,y
END_ADDR0,1,0,0,8,logic,r,0,y
END_ADDR1,2,0,0,8,logic,r,0,y
SOFT_MIG_CSV_VER,3,0,0,8,logic,r,0,y
MEM_TYPE,4,0,0,8,logic,r,0,y
NUM_RANK,5,0,0,8,logic,r,0,y
BYTES,6,0,0,8,logic,r,0,y
NIBBLES,7,0,0,8,logic,r,0,y
BITS_PER_BYTES,8,0,0,8,logic,r,0,y
ERROR_MAP_VERSION,9,0,0,8,logic,r,0,y
CAL_MAP_VERSION,A,0,0,8,logic,r,0,y
WARNING_MAP_VERSION,B,0,0,8,logic,r,0,y
SLOTS,C,0,0,8,logic,r,0,y
RESERVED_LOC6,D,0,0,8,logic,r,0,y
RESERVED_LOC7,E,0,0,8,logic,r,0,y
RESERVED_LOC8,F,0,0,8,logic,r,0,y
RESERVED_LOC9,10,0,0,8,logic,r,0,y
RESERVED_LOC10,11,0,0,8,logic,r,0,y
